Reference, Value, Footprint, Datasheet
U1,ADS131E08,micarray:LQFP-64_12x12_Pitch0.5mm_NoFid,
U2,BEAGLEBONEBLACK,micarray:beagleboneblack_custom,
C1,1uF,Capacitors_SMD:C_0805_HandSoldering,
C2,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C3,1uF,Capacitors_SMD:C_0805_HandSoldering,
C4,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C5,1uF,Capacitors_SMD:C_0805_HandSoldering,
C6,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C12,1uF,Capacitors_SMD:C_0805_HandSoldering,
C13,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C14,1uF,Capacitors_SMD:C_0805_HandSoldering,
C15,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C11,22uF,Capacitors_SMD:C_0805_HandSoldering,
C10,1uF,Capacitors_SMD:C_0805_HandSoldering,
C9,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C8,1uF,Capacitors_SMD:C_0805_HandSoldering,
C7,1uF,Capacitors_SMD:C_0805_HandSoldering,
C16,1uF,Capacitors_SMD:C_0805_HandSoldering,
C17,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
TP1,TESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
MIC1,ELECTRET,micarray:Electret_1mm,
R1,10k,Resistors_SMD:R_0805_HandSoldering,
C22,1uF,Capacitors_SMD:C_0805_HandSoldering,
C20,1uF,Capacitors_SMD:C_0805_HandSoldering,
MIC3,ELECTRET,micarray:Electret_1mm,
R3,10k,Resistors_SMD:R_0805_HandSoldering,
C26,1uF,Capacitors_SMD:C_0805_HandSoldering,
C24,1uF,Capacitors_SMD:C_0805_HandSoldering,
MIC5,ELECTRET,micarray:Electret_1mm,
R5,10k,Resistors_SMD:R_0805_HandSoldering,
C30,1uF,Capacitors_SMD:C_0805_HandSoldering,
C28,1uF,Capacitors_SMD:C_0805_HandSoldering,
MIC7,ELECTRET,micarray:Electret_1mm,
R7,10k,Resistors_SMD:R_0805_HandSoldering,
C34,1uF,Capacitors_SMD:C_0805_HandSoldering,
C32,1uF,Capacitors_SMD:C_0805_HandSoldering,
MIC2,ELECTRET,micarray:Electret_1mm,
R2,10k,Resistors_SMD:R_0805_HandSoldering,
C23,1uF,Capacitors_SMD:C_0805_HandSoldering,
C21,1uF,Capacitors_SMD:C_0805_HandSoldering,
MIC4,ELECTRET,micarray:Electret_1mm,
R4,10k,Resistors_SMD:R_0805_HandSoldering,
C27,1uF,Capacitors_SMD:C_0805_HandSoldering,
C25,1uF,Capacitors_SMD:C_0805_HandSoldering,
MIC6,ELECTRET,micarray:Electret_1mm,
R6,10k,Resistors_SMD:R_0805_HandSoldering,
C31,1uF,Capacitors_SMD:C_0805_HandSoldering,
C29,1uF,Capacitors_SMD:C_0805_HandSoldering,
MIC8,ELECTRET,micarray:Electret_1mm,
R8,10k,Resistors_SMD:R_0805_HandSoldering,
C35,1uF,Capacitors_SMD:C_0805_HandSoldering,
C33,1uF,Capacitors_SMD:C_0805_HandSoldering,
P1,CONN_01X03,micarray:Pin_Header_01x03,
C18,100uF,Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5_CopperClear,
C19,100uF,Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5_CopperClear,
